,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_annual_IMS_min,tas_annual_IMS_min_un,tas_annual_IMS_max,tas_annual_IMS_max_un,tmax_ann_IMS_min,tmax_ann_IMS_min_un,tmax_ann_IMS_max,tmax_ann_max_IMS_un,tmin_ann_IMS_min,tmin_ann_IMS_min_un,tmin_ann_IMS_max,tmin_ann_IMS_max_un,pr_annual_IMS_min,pr_annual_IMS_min_un,pr_annual_IMS_max,pr_annual_IMS_max_un
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.01,2021,2060,NA,15905.01,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.02,2021,2060,NA,15905.02,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.03,2021,2060,NA,15905.03,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.04,2061,2100,NA,15905.04,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.05,2061,2100,NA,15905.05,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.06,2061,2100,NA,15905.06,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.07,2021,2060,NA,15905.07,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.08,2021,2060,NA,15905.08,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.09,2021,2060,NA,15905.09,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.1,2061,2100,NA,15905.1,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.11,2061,2100,NA,15905.11,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.12,2061,2100,NA,15905.12,,,,,,,,,,,,,,,,,,
"Islam & Gan, 2014",69,Nelson River,6922,6922,69.01,2010,2039,NA,6922.01,,,0.5,deltaC,1.5,deltaC,,,,,,,,,-4.25,%,3.5,%
"Islam & Gan, 2014",69,Nelson River,6922,6922,69.02,2040,2069,NA,6922.02,,,2.5,deltaC,4.25,deltaC,,,,,,,,,1,%,8,%
"Islam & Gan, 2014",69,Nelson River,6922,6922,69.03,2070,2099,NA,6922.03,,,3,deltaC,8,deltaC,,,,,,,,,-2.5,%,13.5,%
Fang & Pomeroy,45,Nelson River,13502,13502,45.02,2091,2099,NA,13502.02,,,,,,,,,,,,,,,,,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114,1988,2017,11401,11401,,,,,,,,,,,,,,,,,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.01,2011,2040,NA,11401.01,,,,,,,,,,,,,,,,,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.02,2011,2040,NA,11401.02,,,,,,,,,,,,,,,,,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.03,2011,2040,NA,11401.03,,,,,,,,,,,,,,,,,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.04,2011,2040,NA,11401.04,,,,,,,,,,,,,,,,,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.05,2041,2070,NA,11401.05,,,,,,,,,,,,,,,,,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.06,2041,2070,NA,11401.06,,,,,,,,,,,,,,,,,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.07,2041,2070,NA,11401.07,,,,,,,,,,,,,,,,,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.08,2041,2070,NA,11401.08,,,,,,,,,,,,,,,,,,
"Saha, 2015",142,Great Slave Lake,14201,14201,142.01,2020,2040,NA,14201.01,,,,,,,,,,,,,,,,,,
"Saha, 2015",142,Great Slave Lake,14201,14201,142.02,2020,2040,NA,14201.02,,,,,,,,,,,,,,,,,,
"Rokaya et al., 2020",141,Great Slave Lake,14101,14101,141.01,2071,2100,NA,14101.01,,,,,,,,,,,,,,,,,,
"Asnaashari et al., 2015",8,St. Lawrence,801,801,8.02,2010,2039,NA,801.02,,,,,,,,,,,,,,,,,,
"Asnaashari et al., 2015",8,St. Lawrence,801,801,8.03,2040,2069,NA,801.03,,,,,,,,,,,,,,,,,,
"Asnaashari et al., 2015",8,St. Lawrence,801,801,8.04,2070,2099,NA,801.04,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.01,2046,2065,NA,2401.01,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.02,2046,2065,NA,2401.02,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.03,2046,2065,NA,2401.03,,,,,,,,,,,,,,,,,,
